BorrowerName,BorrowerCity,BorrowerState,BorrowerZip,CurrentApprovalAmount,ForgivenessAmount,DateApproved,LoanStatus,BusinessType,NAICSCode,NonProfit,Gender,Veteran,JobsReported,ForgivenessDate
SARDIS TRANSITIONAL HOUSING INC,Indianapolis,IN,46226-4728,20832.0,20941.37,04/29/2021,Paid in Full,Limited  Liability Company(LLC),623220,,Female Owned,Non-Veteran,1.0,11/10/2021
TRANSITIONAL HOUSING & WORK PROGRAMS OF DAVIDSON COUNTY INC,MADISON,TN,37115-2201,19605.0,19861.21,04/28/2020,Paid in Full,Professional Association,624190,,Unanswered,Unanswered,3.0,08/19/2021
CORNERSTONE TRANSITIONAL HOUSING MINISTRY INC.,NEWPORT,AR,72112,17584.17,17778.8,04/15/2020,Paid in Full,Non-Profit Organization,813110,Y,Unanswered,Unanswered,4.0,06/02/2021
"ARTESIAN TRANSITIONAL HOUSING, LLC",STUART,FL,34994-4600,17400.0,17542.54,04/29/2020,Paid in Full,Limited  Liability Company(LLC),623220,,Unanswered,Unanswered,4.0,03/09/2021
CARLSBAD TRANSITIONAL HOUSING AND HOMELESS SHELTER INC,Carlsbad,NM,88220-5635,15100.0,15160.4,04/13/2021,Paid in Full,501(c)3 ¿ Non Profit,624229,,Unanswered,Unanswered,3.0,09/13/2021
"CROSSROADS TRANSITIONAL HOUSING, INC.",COEUR D ALENE,ID,83814-2458,13750.0,13906.71,04/08/2020,Paid in Full,Corporation,624221,,Unanswered,Unanswered,5.0,06/08/2021
NEW JERSUALEM TRANSITIONAL HOUSING LLC,Jacksonville,FL,32209-2639,13540.0,,06/05/2020,Exemption 4,Self-Employed Individuals,532412,,Unanswered,Unanswered,2.0,
TRICORD TRANSITIONAL HOUSING,SHREWSBURY,MA,01545,10900.0,10976.3,04/15/2020,Paid in Full,Sole Proprietorship,531390,,Unanswered,Unanswered,1.0,01/06/2021
MOTHER OF MERCY HOUSE,PHILADELPHIA,PA,19134-2405,10625.0,10686.13,04/27/2020,Paid in Full,Non-Profit Organization,813110,Y,Unanswered,Unanswered,1.0,11/27/2020
TRANSITIONAL HOUSING & WORK PROGRAMS OF DAVIDSON COUNTY INC.,Madison,TN,37115-2201,10207.0,,02/23/2021,Charged Off,Professional Association,624190,,Unanswered,Unanswered,5.0,
RUTH'S WAY TRANSITIONAL HOUSING - OWNER,Detroit,MI,48205-1709,9480.0,,04/23/2021,Exemption 4,Non-Profit Organization,624229,Y,Unanswered,Unanswered,7.0,
NEXT STEPS TRANSITIONAL NURSING HOUSING RE ENTRY LLC,SAINT CLOUD,MN,56304-1249,6800.0,6892.22,04/15/2020,Paid in Full,Limited  Liability Company(LLC),621610,,Unanswered,Unanswered,6.0,09/02/2021
OPEN ARMS TRANSITIONAL HOUSING LLC,Philadelphia,PA,19143,4362.0,,06/30/2020,Charged Off,Limited  Liability Company(LLC),624229,,Unanswered,Unanswered,1.0,
THE REFUGE TRANSITIONAL HOUSING,OLDS,IA,52647-0201,3750.0,3776.25,04/10/2020,Paid in Full,Non-Profit Organization,925110,Y,Male Owned,Unanswered,1.0,12/22/2020
